01.03.01;Математика;bachelor
01.03.02;Прикладная математика и информатика;bachelor
01.03.03;Механика и математическое моделирование;bachelor
01.03.04;Прикладная математика;bachelor
01.03.05;Статистика;bachelor
02.03.01;Математика и компьютерные науки;bachelor
02.03.02;Фундаментальная информатика и информационные технологии;bachelor
02.03.03;Математическое обеспечение и администрирование информационных систем;bachelor
03.03.01;Прикладные математика и физика;bachelor
03.03.02;Физика;bachelor
03.03.03;Радиофизика;bachelor
04.03.01;Химия;bachelor
04.03.02;"Химия, физика и механика материалов";bachelor
05.03.01;Геология;bachelor
05.03.02;География;bachelor
05.03.03;Картография и геоинформатика;bachelor
05.03.04;Гидрометеорология;bachelor
05.03.05;Прикладная гидрометеорология;bachelor
05.03.06;Экология и природопользование;bachelor
06.03.01;Биология;bachelor
06.03.02;Почвоведение;bachelor
07.03.01;Архитектура;bachelor
07.03.02;Реконструкция и реставрация архитектурного наследия;bachelor
07.03.03;Дизайн архитектурной среды;bachelor
07.03.04;Градостроительство;bachelor
08.03.01;Строительство;bachelor
09.03.01;Информатика и вычислительная техника;bachelor
09.03.02;Информационные системы и технологии;bachelor
09.03.03;Прикладная информатика;bachelor
09.03.04;Программная инженерия;bachelor
10.03.01;Информационная безопасность;bachelor
11.03.01;Радиотехника;bachelor
11.03.02;Инфокоммуникационные технологии и системы связи;bachelor
11.03.03;Конструирование и технология электронных средств;bachelor
11.03.04;Электроника и наноэлектроника;bachelor
12.03.01;Приборостроение;bachelor
12.03.02;Оптотехника;bachelor
12.03.03;Фотоника и оптоинформатика;bachelor
12.03.04;Биотехнические системы и технологии;bachelor
12.03.05;Лазерная техника и лазерные технологии;bachelor
13.03.01;Теплоэнергетика и теплотехника;bachelor
13.03.02;Электроэнергетика и электротехника;bachelor
13.03.03;Энергетическое машиностроение;bachelor
14.03.01;Ядерная энергетика и теплофизика;bachelor
14.03.02;Ядерные физика и технологии;bachelor
15.03.01;Машиностроение;bachelor
15.03.02;Технологические машины и оборудование;bachelor
15.03.03;Прикладная механика;bachelor
15.03.04;Автоматизация технологических процессов и производств;bachelor
15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;bachelor
15.03.06;Мехатроника и робототехника;bachelor
16.03.01;Техническая физика;bachelor
16.03.02;Высокотехнологические плазменные и энергетические установки;bachelor
16.03.03;"Холодильная, криогенная техника и системы жизнеобеспечения";bachelor
17.03.01;Корабельное вооружение;bachelor
18.03.01;Химическая технология;bachelor
18.03.02;"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии";bachelor
19.03.01;Биотехнология;bachelor
19.03.02;Продукты питания из растительного сырья;bachelor
19.03.03;Продукты питания животного происхождения;bachelor
19.03.04;Технология продукции и организация общественного питания;bachelor
20.03.01;Техносферная безопасность;bachelor
20.03.02;Природообустройство и водопользование;bachelor
21.03.01;Нефтегазовое дело;bachelor
21.03.02;Землеустройство и кадастры;bachelor
21.03.03;Геодезия и дистанционное зондирование;bachelor
22.03.01;Материаловедение и технологии материалов;bachelor
22.03.02;Металлургия;bachelor
23.03.01;Технология транспортных процессов;bachelor
23.03.02;Наземные транспортно-технологические комплексы;bachelor
23.03.03;Эксплуатация транспортно-технологических машин и комплексов;bachelor
24.03.01;Ракетные комплексы и космонавтика;bachelor
24.03.02;Системы управления движением и навигация;bachelor
24.03.03;Баллистика и гидроаэродинамика;bachelor
24.03.04;Авиастроение;bachelor
24.03.05;Двигатели летательных аппаратов;bachelor
25.03.01;Техническая эксплуатация летательных аппаратов и двигателей;bachelor
25.03.02;Техническая эксплуатация авиационных электросистем и пилотажно-навигационных комплексов;bachelor
25.03.03;Аэронавигация;bachelor
25.03.04;Эксплуатация аэропортов и обеспечение полетов воздушных судов;bachelor
26.03.01;Управление водным транспортом и гидрографическое обеспечение судоходства;bachelor
26.03.02;"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры";bachelor
26.03.03;"Водные пути, порты и гидротехнические сооружения";bachelor
26.03.04;Инженерно-экономическое обеспечение технологий и бизнес-процессов водного транспорта;bachelor
27.03.01;Стандартизация и метрология;bachelor
27.03.02;Управление качеством;bachelor
27.03.03;Системный анализ и управление;bachelor
27.03.04;Управление в технических системах;bachelor
27.03.05;Инноватика;bachelor
28.03.01;Нанотехнологии и микросистемная техника;bachelor
28.03.02;Наноинженерия;bachelor
28.03.03;Наноматериалы;bachelor
29.03.01;Технология изделий легкой промышленности;bachelor
29.03.02;Технологии и проектирование текстильных изделий;bachelor
29.03.03;Технология полиграфического и упаковочного производства;bachelor
29.03.04;Технология художественной обработки материалов;bachelor
29.03.05;Конструирование изделий легкой промышленности;bachelor
34.03.01;Сестринское дело;bachelor
35.03.01;Лесное дело;bachelor
35.03.02;Технология лесозаготовительных и деревоперерабатывающих производств;bachelor
35.03.03;Агрохимия и агропочвоведение;bachelor
35.03.04;Агрономия;bachelor
35.03.05;Садоводство;bachelor
35.03.06;Агроинженерия;bachelor
35.03.07;Технология производства и переработки сельскохозяйственной продукции;bachelor
35.03.08;Водные биоресурсы и аквакультура;bachelor
35.03.09;Промышленное рыболовство;bachelor
35.03.10;Ландшафтная архитектура;bachelor
35.03.11;Гидромелиорация;bachelor
36.03.01;Ветеринарно-санитарная экспертиза;bachelor
36.03.02;Зоотехния;bachelor
37.03.01;Психология;bachelor
37.03.02;Конфликтология;bachelor
38.03.01;Экономика;bachelor
38.03.02;Менеджмент;bachelor
38.03.03;Управление персоналом;bachelor
38.03.04;Государственное и муниципальное управление;bachelor
38.03.05;Бизнес-информатика;bachelor
38.03.06;Торговое дело;bachelor
38.03.07;Товароведение;bachelor
38.03.10;Жилищное хозяйство и коммунальная инфраструктура;bachelor
39.03.01;Социология;bachelor
39.03.02;Социальная работа;bachelor
39.03.03;Организация работы с молодежью;bachelor
40.03.01;Юриспруденция;bachelor
40.03.02;Обеспечение законности и правопорядка;bachelor
41.03.01;Зарубежное регионоведение;bachelor
41.03.02;Регионоведение России;bachelor
41.03.03;Востоковедение и африканистика;bachelor
41.03.04;Политология;bachelor
41.03.05;Международные отношения;bachelor
41.03.06;Публичная политика и социальные науки;bachelor
42.03.01;Реклама и связи с общественностью;bachelor
42.03.02;Журналистика;bachelor
42.03.03;Издательское дело;bachelor
42.03.04;Телевидение;bachelor
42.03.05;Медиакоммуникации;bachelor
43.03.01;Сервис;bachelor
43.03.02;Туризм;bachelor
43.03.03;Гостиничное дело;bachelor
44.03.01;Педагогическое образование;bachelor
44.03.02;Психолого-педагогическое образование;bachelor
44.03.03;Специальное (дефектологическое) образование;bachelor
44.03.04;Профессиональное обучение (по отраслям);bachelor
44.03.05;Педагогическое образование (с двумя профилями подготовки);bachelor
45.03.01;Филология;bachelor
45.03.02;Лингвистика;bachelor
45.03.03;Фундаментальная и прикладная лингвистика;bachelor
45.03.04;Интеллектуальные системы в гуманитарной сфере;bachelor
46.03.01;История;bachelor
46.03.02;Документоведение и архивоведение;bachelor
46.03.03;Антропология и этнология;bachelor
46.03.04;Археология;bachelor
47.03.01;Философия;bachelor
47.03.02;Прикладная этика;bachelor
47.03.03;Религиоведение;bachelor
48.03.01;Теология;bachelor
